name,stage,category,intro,website
[24]7.AI,Growth,"['AI/ML', 'ENTERPRISE']","[24]7.ai uses AI technology to help businesses attract and retain customers with a personalized, predictive and effortless experience. [24]7.ai gives companies the ability to know and act on consumer intent in milliseconds.",https://www.247.ai/
AMP ROBOTICS,Growth,"['AI/ML', 'CLIMATE TECH', 'ENTERPRISE']","AMP Robotics is changing the face of recycling with high-speed guided robotics. Powered by advanced computer vision and machine learning, the company’s robotics system automates the identification, sorting and processing done by recycling businesses.",https://www.amprobotics.com/
APOLLO.IO,Growth,"['AI/ML', 'ENTERPRISE']","Apollo.io is the leading B2B sales intelligence and engagement platform, trusted by over 160,000 companies and more than one million users globally, from rapidly growing startups to some of the world’s largest enterprises. Apollo.io provides sales teams with easy access to contact data for over 220 million contacts, along with tools to engage with these contacts in one single platform. By helping sales professionals find the most accurate contact information and automating the outreach process, Apollo.io turns prospects into customers.",https://www.apollo.io/
AQUARIUM,Seed,['AI/ML'],Aquarium is a machine learning data management system. It helps teams improve their models by improving their datasets.,http://aquariumlearning.com/
ARCWISE,Arc,"['AI/ML', 'ENTERPRISE']","Arcwise is a platform for analytical but non-technical business users to build, publish, and maintain data and ML applications, all from their spreadsheet. They’re building a collaborative workspace to bridge the gap between business operators and technical data experts — ”arcing” the divide between notebooks and spreadsheets. Arcwise is the missing tool that would have saved years of person-hours at Flexport, where business-critical data applications repeatedly took months to move from spreadsheets to Python.",http://arcwise.app/
ATHELAS,Growth,"['AI/ML', 'HEALTHCARE']","Athelas builds sensors and software tools to manage chronically ill patients in the home. It serves over 40,000 patients nationally, and works with national healthcare systems, small practices, and digital health companies to provide telehealth.",https://athelas.com/
ATTENTIVE,Growth,"['AI/ML', 'ENTERPRISE']","Attentive is a personalized text messaging platform for innovative brands. Using real-time behavioral data, Attentive automatically sends engaging text messages to each subscriber at every step of their customer journey.",https://attentivemobile.com/
AURORA,IPO,"['AI/ML', 'CLIMATE TECH', 'ENTERPRISE']","Aurora delivers the benefits of self-driving technology safely and efficiently. Aurora is solving today’s most complex AI, automation and engineering challenges to catalyze the self-driving revolution.",https://aurora.tech/
CAPTIONS,Growth,"['AI/ML', 'CONSUMER']","Captions is an AI-powered creative studio. Their goal is to enable anyone, anywhere to produce studio-quality videos with just a few quick taps.",https://www.captions.ai/
CLOSEFACTOR,Early,['AI/ML'],"CloseFactor uses machine learning to automatically curate unstructured information about companies and extract meaningful intelligence that go-to-market teams can act on. With this intelligence, we help companies identify their best customers, empower their sales forces at scale, and exceed growth expectations.",https://www.closefactor.com/
CO:HELM,Seed,"['AI/ML', 'HEALTHCARE']","Co:Helm is alleviating the $950 billion administrative burden in the U.S. healthcare by supercharging health plans with AI co:pilots for complex and manual workflows. Built on healthcare-ready LLM infrastructure, their first co:pilots tackle Prior Authorizations, streamlining them from hours to minutes and saving millions of dollars in operational overheads. Co:Helm is founded by ex-clinicians and AI engineers from Google and Insurtech.",https://www.co-helm.com/
COBALT ROBOTICS,Growth,"['AI/ML', 'ENTERPRISE']","Cobalt Robotics uses AI, autonomy and robotic automation to protect people, places and property.",https://cobaltrobotics.com/
COBOT,Early,['AI/ML'],Cobot is redefining the future of human-robot interaction by building practical cobots that have human-like capabilities.,https://www.co.bot/
CRESTA,Growth,"['AI/ML', 'ENTERPRISE']","Cresta provides real-time coaching for call centers. By learning from the experts on a team, Cresta’s AI trains sales and service representatives to make every conversation with customers count.",https://www.cresta.com/
