,name,stage,intro,website,category1,category2
0,[24]7.AI,Growth,"[24]7.ai uses ai technology to help businesses attract and retain customers with a personalized, predictive and effortless experience. [24]7.ai gives companies the ability to know and act on consumer intent in milliseconds.",https://www.247.ai/,Enterprise,Customer relationship
1,AMP ROBOTICS,Growth,"amp robotics is changing the face of recycling with high-speed guided robotics. powered by advanced computer vision and machine learning, the company’s robotics system automates the identification, sorting and processing done by recycling businesses.",https://www.amprobotics.com/,Enterprise,Other
2,APOLLO.IO,Growth,"apollo.io is the leading b2b sales intelligence and engagement platform, trusted by over 160,000 companies and more than one million users globally, from rapidly growing startups to some of the world’s largest enterprises. apollo.io provides sales teams with easy access to contact data for over 220 million contacts, along with tools to engage with these contacts in one single platform. by helping sales professionals find the most accurate contact information and automating the outreach process, apollo.io turns prospects into customers.",https://www.apollo.io/,Enterprise,Customer relationship
3,AQUARIUM,Seed,aquarium is a machine learning data management system. it helps teams improve their models by improving their datasets.,http://aquariumlearning.com/,AI/ML,Other
4,ARCWISE,Arc,"arcwise is a platform for analytical but non-technical business users to build, publish, and maintain data and ml applications, all from their spreadsheet. they’re building a collaborative workspace to bridge the gap between business operators and technical data experts — ”arcing” the divide between notebooks and spreadsheets. arcwise is the missing tool that would have saved years of person-hours at flexport, where business-critical data applications repeatedly took months to move from spreadsheets to python.",http://arcwise.app/,Enterprise,Other
5,ATHELAS,Growth,"athelas builds sensors and software tools to manage chronically ill patients in the home. it serves over 40,000 patients nationally, and works with national healthcare systems, small practices, and digital health companies to provide telehealth.",https://athelas.com/,AI/ML,Healthcare
6,ATTENTIVE,Growth,"attentive is a personalized text messaging platform for innovative brands. using real-time behavioral data, attentive automatically sends engaging text messages to each subscriber at every step of their customer journey.",https://attentivemobile.com/,Enterprise,Customer relationship
7,AURORA,IPO,"aurora delivers the benefits of self-driving technology safely and efficiently. aurora is solving today’s most complex ai, automation and engineering challenges to catalyze the self-driving revolution.",https://aurora.tech/,Enterprise,Self-driving technology
8,CAPTIONS,Growth,"captions is an ai-powered creative studio. their goal is to enable anyone, anywhere to produce studio-quality videos with just a few quick taps.",https://www.captions.ai/,Consumer,Other
9,CLOSEFACTOR,Early,"closefactor uses machine learning to automatically curate unstructured information about companies and extract meaningful intelligence that go-to-market teams can act on. with this intelligence, we help companies identify their best customers, empower their sales forces at scale, and exceed growth expectations.",https://www.closefactor.com/,AI/ML,Customer relationship
10,CO:HELM,Seed,"co:helm is alleviating the $950 billion administrative burden in the u.s. healthcare by supercharging health plans with ai co:pilots for complex and manual workflows. built on healthcare-ready llm infrastructure, their first co:pilots tackle prior authorizations, streamlining them from hours to minutes and saving millions of dollars in operational overheads. co:helm is founded by ex-clinicians and ai engineers from google and insurtech.",https://www.co-helm.com/,AI/ML,Healthcare
11,COBALT ROBOTICS,Growth,"cobalt robotics uses ai, autonomy and robotic automation to protect people, places and property.",https://cobaltrobotics.com/,Enterprise,Other
12,COBOT,Early,cobot is redefining the future of human-robot interaction by building practical cobots that have human-like capabilities.,https://www.co.bot/,AI/ML,Other
13,CRESTA,Growth,"cresta provides real-time coaching for call centers. by learning from the experts on a team, cresta’s ai trains sales and service representatives to make every conversation with customers count.",https://www.cresta.com/,Enterprise,Customer relationship
14,CTRLSTACK,Early,"ctrlstack provides change intelligence for devops to prevent downtime and identify changes before they impact customers. the platform unifies disconnected data, teams, and tools to connect cause to effect in devops. harnessing the power of those connections, ctrlstack enables automated troubleshooting and serves as the system of record for change management.",https://www.ctrlstack.com/,Enterprise,Customer relationship
15,DUST,Seed,"dust is an ai operating system for smart teams. it reshapes information management in the workplace by combining multiple large language models to process information, making it readily available when needed and in the format that makes sense. dust can augment humans, enhance productivity, foster diversity and facilitate a more dynamic, personalized work experience.",https://dust.tt/,Enterprise,Other
16,EMBARK TRUCKS,IPO,"embark builds software for carriers so they can integrate autonomous trucks into their fleets. its mission: to build a world where consumers pay less for the things they need, drivers stay close to the homes they cherish, and roads are safer for the people they love.",https://embarktrucks.com/,Enterprise,Self-driving technology
17,ENTOS,Early,"entos is disrupting therapeutic discovery with orbnet, a cutting-edge platform that combines ai technology with automated synthetic development. the platform can rapidly generate small-molecule therapeutics.",https://www.entos.ai/,AI/ML,Healthcare
18,FACTORY,Seed,"factory is bringing autonomy to software engineering. factory’s droids robustly, reliably, and autonomously solve engineering tasks, like code review, documentation, testing, debugging, coding, and project management.",https://factory.ai/,Enterprise,Other
19,GITHUB,Acquired,github is the world’s standard for software development. its passionate community helps developers discover and build millions of projects.,https://www.github.com/,Enterprise,Other
20,GLADIA,Seed,"powered by generative ai, gladia is an audio intelligence api distinguished by exceptional accuracy and speed of transcription, extended multilingual capabilities, and state-of-the-art features, including speaker separation, word-level timestamps, and code-switching. it allows companies to easily embed language ai into their products to derive valuable insights from audio data.",https://www.gladia.io/,Enterprise,Other
